sigma_A_over_omega,K_over_omega,positive_fraction,negative_fraction
1.090909091,0.303030303,0.6552,0.0094
1.151515152,0.303030303,0.6306,0.0132
1.212121212,0.303030303,0.605,0.0084
1.272727273,0.303030303,0.582,0.0098
1.333333333,0.303030303,0.5538,0.0058
1.393939394,0.303030303,0.53,0.0026
1.454545455,0.303030303,0.5052,0.0004
1.515151515,0.303030303,0.4892,0.0004
1.575757576,0.303030303,0.4726,0.0004
1.636363636,0.303030303,0.4568,0.0012
1.696969697,0.303030303,0.4414,0
1.757575758,0.303030303,0.4276,0.0002
1.818181818,0.303030303,0.4104,0
1.878787879,0.303030303,0.399,0
1.939393939,0.303030303,0.387,0
2,0.303030303,0.3754,0
2.060606061,0.303030303,0.368,0
2.121212121,0.303030303,0.357,0
2.181818182,0.303030303,0.3456,0
2.242424242,0.303030303,0.3364,0
2.303030303,0.303030303,0.3284,0
2.363636364,0.303030303,0.3178,0
2.424242424,0.303030303,0.3118,0
2.484848485,0.303030303,0.3034,0
2.545454545,0.303030303,0.2954,0
2.606060606,0.303030303,0.289,0
2.666666667,0.303030303,0.283,0
2.727272727,0.303030303,0.2764,0
2.787878788,0.303030303,0.271,0
2.848484848,0.303030303,0.2658,0
2.909090909,0.303030303,0.2608,0
2.96969697,0.303030303,0.256,0
3.03030303,0.303030303,0.251,0
3.090909091,0.303030303,0.247,0
3.151515152,0.303030303,0.2424,0
3.212121212,0.303030303,0.2392,0
3.272727273,0.303030303,0.2342,0
3.333333333,0.303030303,0.23,0
3.393939394,0.303030303,0.226,0
3.454545455,0.303030303,0.2226,0
3.515151515,0.303030303,0.2194,0
3.575757576,0.303030303,0.2148,0
3.636363636,0.303030303,0.2114,0
3.696969697,0.303030303,0.2076,0
3.757575758,0.303030303,0.204,0
3.818181818,0.303030303,0.2002,0
3.878787879,0.303030303,0.197,0
3.939393939,0.303030303,0.1944,0
4,0.303030303,0.1926,0
4.060606061,0.303030303,0.1892,0
4.121212121,0.303030303,0.186,0
4.181818182,0.303030303,0.1842,0
4.242424242,0.303030303,0.1826,0
4.303030303,0.303030303,0.1802,0
4.363636364,0.303030303,0.1776,0
4.424242424,0.303030303,0.1752,0
4.484848485,0.303030303,0.1728,0
4.545454545,0.303030303,0.1708,0
4.606060606,0.303030303,0.1686,0
4.666666667,0.303030303,0.1658,0
4.727272727,0.303030303,0.1638,0
4.787878788,0.303030303,0.1622,0
4.848484848,0.303030303,0.1608,0
4.909090909,0.303030303,0.1594,0
4.96969697,0.303030303,0.158,0
5.03030303,0.303030303,0.156,0
5.090909091,0.303030303,0.155,0
5.151515152,0.303030303,0.1542,0
5.212121212,0.303030303,0.1522,0
5.272727273,0.303030303,0.1508,0
5.333333333,0.303030303,0.1492,0
5.393939394,0.303030303,0.1476,0
