sigma_A_over_omega,K_over_omega,D
2.484848485,0.1818181818,0.2403010394
2.545454545,0.1818181818,0.2348110826
2.606060606,0.1818181818,0.2296440045
2.666666667,0.1818181818,0.2246462274
2.727272727,0.1818181818,0.2200822454
2.787878788,0.1818181818,0.2154552111
2.848484848,0.1818181818,0.2113462091
2.909090909,0.1818181818,0.2072397124
2.96969697,0.1818181818,0.2032523968
3.03030303,0.1818181818,0.1994954346
3.090909091,0.1818181818,0.195898201
3.151515152,0.1818181818,0.1923502996
3.212121212,0.1818181818,0.1887691814
3.272727273,0.1818181818,0.1852781317
3.333333333,0.1818181818,0.182044367
3.393939394,0.1818181818,0.178933432
3.454545455,0.1818181818,0.1761874168
3.515151515,0.1818181818,0.1732116174
3.575757576,0.1818181818,0.1702644138
3.636363636,0.1818181818,0.1674644897
3.696969697,0.1818181818,0.1648187045
3.757575758,0.1818181818,0.1620898745
3.818181818,0.1818181818,0.1599096869
3.878787879,0.1818181818,0.1576179161
3.939393939,0.1818181818,0.1553107768
4,0.1818181818,0.1533051518
4.060606061,0.1818181818,0.151178347
4.121212121,0.1818181818,0.1492169785
4.181818182,0.1818181818,0.1473715141
4.242424242,0.1818181818,0.1454019184
4.303030303,0.1818181818,0.1434647201
4.363636364,0.1818181818,0.1416499348
4.424242424,0.1818181818,0.1397594319
4.484848485,0.1818181818,0.1381127794
4.545454545,0.1818181818,0.1364002626
4.606060606,0.1818181818,0.1348369584
4.666666667,0.1818181818,0.1331654976
4.727272727,0.1818181818,0.1317158148
4.787878788,0.1818181818,0.1303356598
4.848484848,0.1818181818,0.1289059359
4.909090909,0.1818181818,0.1275660236
4.96969697,0.1818181818,0.1261414367
5.03030303,0.1818181818,0.1249049625
5.090909091,0.1818181818,0.1235778568
5.151515152,0.1818181818,0.1222225617
5.212121212,0.1818181818,0.1210684391
5.272727273,0.1818181818,0.1197543899
5.333333333,0.1818181818,0.1184645122
5.393939394,0.1818181818,0.1172510227
5.454545455,0.1818181818,0.1161034738
5.515151515,0.1818181818,0.1148515341
5.575757576,0.1818181818,0.1136143332
5.636363636,0.1818181818,0.1123186809
5.696969697,0.1818181818,0.1111998692
5.757575758,0.1818181818,0.1099891443
5.818181818,0.1818181818,0.1088571754
5.878787879,0.1818181818,0.1077076086
5.939393939,0.1818181818,0.1066682089
6,0.1818181818,0.1055694198
0,0.2424242424,1
0.06060606061,0.2424242424,0.9982670175
0.1212121212,0.2424242424,0.9930758249
0.1818181818,0.2424242424,0.9844018245
0.2424242424,0.2424242424,0.972179892
0.303030303,0.2424242424,0.9554831272
0.3636363636,0.2424242424,0.9321055267
0.4242424242,0.2424242424,0.9021585728
0.4848484848,0.2424242424,0.865612889
0.5454545455,0.2424242424,0.8254126408
0.6060606061,0.2424242424,0.7838152985
0.6666666667,0.2424242424,0.7426872487
0.7272727273,0.2424242424,0.702414994
0.7878787879,0.2424242424,0.667579077
0.8484848485,0.2424242424,0.6325621454
0.9090909091,0.2424242424,0.6008421477
0.9696969697,0.2424242424,0.5720733789
1.03030303,0.2424242424,0.5454495294
1.090909091,0.2424242424,0.5204738181
1.151515152,0.2424242424,0.4965724827
1.212121212,0.2424242424,0.4752473073
1.272727273,0.2424242424,0.4552547398
1.333333333,0.2424242424,0.4359432721
1.393939394,0.2424242424,0.4178873939
1.454545455,0.2424242424,0.4018794873
1.515151515,0.2424242424,0.3871183829
1.575757576,0.2424242424,0.373647219
1.636363636,0.2424242424,0.3606004771
1.696969697,0.2424242424,0.348273331
1.757575758,0.2424242424,0.336523733
1.818181818,0.2424242424,0.3253366473
1.878787879,0.2424242424,0.3155207518
1.939393939,0.2424242424,0.3061589313
2,0.2424242424,0.2975631507
2.060606061,0.2424242424,0.2891646345
2.121212121,0.2424242424,0.2809736726
2.181818182,0.2424242424,0.273104911
2.242424242,0.2424242424,0.2659093882
2.303030303,0.2424242424,0.2589116349
2.363636364,0.2424242424,0.2522185935
2.424242424,0.2424242424,0.2463819377
2.484848485,0.2424242424,0.2404617555
2.545454545,0.2424242424,0.2348054109
2.606060606,0.2424242424,0.2297185588
2.666666667,0.2424242424,0.2247737665
2.727272727,0.2424242424,0.2200495875
2.787878788,0.2424242424,0.2156449041
2.848484848,0.2424242424,0.2114485849
2.909090909,0.2424242424,0.207351934
2.96969697,0.2424242424,0.2033344035
3.03030303,0.2424242424,0.199509707
3.090909091,0.2424242424,0.1958359068
3.151515152,0.2424242424,0.1923648912
3.212121212,0.2424242424,0.1890049243
3.272727273,0.2424242424,0.1853381264
3.333333333,0.2424242424,0.1822484299
3.393939394,0.2424242424,0.1791330155
3.454545455,0.2424242424,0.1762355899
3.515151515,0.2424242424,0.1733208916
3.575757576,0.2424242424,0.1703208133
3.636363636,0.2424242424,0.1675256357
3.696969697,0.2424242424,0.1648495579
3.757575758,0.2424242424,0.1622633924
3.818181818,0.2424242424,0.1598926445
3.878787879,0.2424242424,0.1575932336
3.939393939,0.2424242424,0.1552751264
4,0.2424242424,0.1533631291
4.060606061,0.2424242424,0.1511283891
4.121212121,0.2424242424,0.1492114077
4.181818182,0.2424242424,0.1472728901
4.242424242,0.2424242424,0.1454105599
4.303030303,0.2424242424,0.1434674649
4.363636364,0.2424242424,0.1415964801
4.424242424,0.2424242424,0.1397840815
4.484848485,0.2424242424,0.1380713777
4.545454545,0.2424242424,0.136391715
4.606060606,0.2424242424,0.1348052776
4.666666667,0.2424242424,0.1331048202
4.727272727,0.2424242424,0.1316492222
4.787878788,0.2424242424,0.1302620702
4.848484848,0.2424242424,0.1288538994
4.909090909,0.2424242424,0.1275944117
4.96969697,0.2424242424,0.1260990121
5.03030303,0.2424242424,0.1248672663
5.090909091,0.2424242424,0.1235517299
5.151515152,0.2424242424,0.1221782907
5.212121212,0.2424242424,0.1210097958
5.272727273,0.2424242424,0.1197350107
5.333333333,0.2424242424,0.1183760404
5.393939394,0.2424242424,0.1172124242
5.454545455,0.2424242424,0.1159158097
5.515151515,0.2424242424,0.1147507546
5.575757576,0.2424242424,0.1135373631
5.636363636,0.2424242424,0.1122559968
5.696969697,0.2424242424,0.1111552375
5.757575758,0.2424242424,0.1099517488
5.818181818,0.2424242424,0.108807631
5.878787879,0.2424242424,0.1077418933
5.939393939,0.2424242424,0.1066400005
6,0.2424242424,0.1055429349
0,0.303030303,1
0.06060606061,0.303030303,0.9983195754
0.1212121212,0.303030303,0.9932862086
0.1818181818,0.303030303,0.9848816158
0.2424242424,0.303030303,0.9731099531
0.303030303,0.303030303,0.957260867
0.3636363636,0.303030303,0.9353652628
0.4242424242,0.303030303,0.9070877094
0.4848484848,0.303030303,0.8719800407
0.5454545455,0.303030303,0.8327505995
0.6060606061,0.303030303,0.7911287699
0.6666666667,0.303030303,0.7499492613
0.7272727273,0.303030303,0.7088998425
0.7878787879,0.303030303,0.6732867957
0.8484848485,0.303030303,0.6379378318
0.9090909091,0.303030303,0.6047876747
0.9696969697,0.303030303,0.5751105773
1.03030303,0.303030303,0.5483135307
1.090909091,0.303030303,0.5229564133
1.151515152,0.303030303,0.4986133057
1.212121212,0.303030303,0.4769105534
1.272727273,0.303030303,0.4566824684
1.333333333,0.303030303,0.4371461689
1.393939394,0.303030303,0.4189117043
1.454545455,0.303030303,0.4027231777
1.515151515,0.303030303,0.3878048798
1.575757576,0.303030303,0.3742149083
1.636363636,0.303030303,0.3610647963
1.696969697,0.303030303,0.3487919189
1.757575758,0.303030303,0.3370164249
1.818181818,0.303030303,0.3258146026
1.878787879,0.303030303,0.3160291996
1.939393939,0.303030303,0.3063673677
2,0.303030303,0.2977772808
2.060606061,0.303030303,0.2895099268
2.121212121,0.303030303,0.2811141316
2.181818182,0.303030303,0.2731620311
2.242424242,0.303030303,0.2659898856
2.303030303,0.303030303,0.2591569648
2.363636364,0.303030303,0.2523773025
2.424242424,0.303030303,0.2465340067
2.484848485,0.303030303,0.2405959074
2.545454545,0.303030303,0.2349721162
2.606060606,0.303030303,0.2298971611
2.666666667,0.303030303,0.2249576628
2.727272727,0.303030303,0.2200851664
2.787878788,0.303030303,0.215739042
2.848484848,0.303030303,0.2115677714
2.909090909,0.303030303,0.207470168
2.96969697,0.303030303,0.2034693777
3.03030303,0.303030303,0.1996821542
3.090909091,0.303030303,0.1959461111
3.151515152,0.303030303,0.1925045363
3.212121212,0.303030303,0.1890613444
3.272727273,0.303030303,0.1854859269
3.333333333,0.303030303,0.182307071
3.393939394,0.303030303,0.1791964106
3.454545455,0.303030303,0.1762896007
3.515151515,0.303030303,0.1732845105
3.575757576,0.303030303,0.1703608795
3.636363636,0.303030303,0.1676729909
3.696969697,0.303030303,0.1649058543
3.757575758,0.303030303,0.1623963384
3.818181818,0.303030303,0.1599216121
3.878787879,0.303030303,0.157587703
3.939393939,0.303030303,0.1554088355
4,0.303030303,0.1533019482
4.060606061,0.303030303,0.1511010127
4.121212121,0.303030303,0.1491569467
4.181818182,0.303030303,0.1472969381
4.242424242,0.303030303,0.1453646469
4.303030303,0.303030303,0.1434611707
4.363636364,0.303030303,0.1416696359
4.424242424,0.303030303,0.1398068343
4.484848485,0.303030303,0.1380206915
4.545454545,0.303030303,0.1363649125
4.606060606,0.303030303,0.1347026839
4.666666667,0.303030303,0.1331546042
4.727272727,0.303030303,0.1316235231
4.787878788,0.303030303,0.1302484626
4.848484848,0.303030303,0.1287821329
4.909090909,0.303030303,0.1274663418
4.96969697,0.303030303,0.126149548
5.03030303,0.303030303,0.1247846106
5.090909091,0.303030303,0.1234915536
5.151515152,0.303030303,0.1221987515
5.212121212,0.303030303,0.1208755491
5.272727273,0.303030303,0.1196261636
5.333333333,0.303030303,0.1183157747
5.393939394,0.303030303,0.1170730773
5.454545455,0.303030303,0.1159192117
5.515151515,0.303030303,0.114632148
5.575757576,0.303030303,0.1133980913
5.636363636,0.303030303,0.1122328479
5.696969697,0.303030303,0.1110640364
5.757575758,0.303030303,0.1099522028
5.818181818,0.303030303,0.1088140199
5.878787879,0.303030303,0.1077005898
5.939393939,0.303030303,0.106613401
6,0.303030303,0.1055019387
0,0.3636363636,1
0.06060606061,0.3636363636,0.9983796249
0.1212121212,0.3636363636,0.993526821
0.1818181818,0.3636363636,0.9854236844
